Name;RAdeg;DEdeg;PosErr;Coord_Ref;GLON;GLAT;Xray_Type;Porb;Ppulse;Alt_Name;SpType;Vmag;e_Vmag;Gaia_DR3_ID;Gmag;e_Gmag;BP-RP;_2MASS_ID;Jmag;e_Jmag;Hmag;e_Hmag;Kmag;e_Kmag;WISE_ID;W1mag;e_W1mag;W2mag;e_W2mag;N_H;Min_Soft_Flux;Max_Soft_Flux;Soft_Xray_Var;Soft_Xray_Range;Min_Hard_Flux;Max_Hard_Flux;Hard_Xray_Var;Hard_Xray_Range;AG;Mean_Dist;Low_Dist;High_Dist;Incl;Mx;Mopt;B-V;E_B-V_;tMSP_Flag;Liu07_IDX;RK03_IDX;Orb_Ref;Pulse_Ref;Spect_Ref;Vmag_Ref;Gmag_Ref;JHK_Ref;WISE_Ref;N_H_Ref;AG_Ref;Dist_Ref;Mass_Ref
NGC 104-X4;5.974937499999999;-72.06390805555556;1.29639887684094;2010ApJS..189...37E;305.9194025218694;-44.904260525193465;QNS, GC;;;CXOGlb J002353.9-720350;;13.069999694824219;;;;;;;;;;;;;;;;;;0.05;0.013;0.037;2.8461538461538463;0.5,10.0;;;;;0.17421602787456447;4530.0;4490.0;4610.0;;1.4;;1.2100000381469727;;;;;;;;;;;;2005ApJ...625..796H;2005ApJ...625..796H;2016ApJ...831..184B;2005ApJ...625..796H
NGC 104-X5;6.0040753;-72.0814745;1.0189469946902259;2010ApJS..189...37E;305.90315860280094;-44.88824144106336;QNS, GC, XT;0.3611;;CXOGlb J002400.9-720453;;21.700000762939453;;;;;;;;;;;;;;;;;;0.035;;0.22007943236612493;;0.5,10.0;;;;;0.12195121951219512;4530.0;4490.0;4610.0;;1.4;;;0.04;;;39.0;2003A&A...404..301R;;;2004ApJ...613..512H;;;;1996AJ....112.1487H;1996AJ....112.1487H;2016ApJ...831..184B;
NGC 104-X7;6.014558333333333;-72.08109444444445;1.0040915989391666;2010ApJS..189...37E;305.8987379575558;-44.88910045290705;QNS, GC, XT;0.23;;CXOGlb J002403.4-720451;;;;;;;;;;;;;;;;;;;;0.035;;0.3939736129034131;;0.5,10.0;;;;;0.12195121951219512;4530.0;4490.0;4610.0;;1.4;;;0.04;;;54.0;2003A&A...404..301R;;;;;;;1996AJ....112.1487H;1996AJ....112.1487H;2016ApJ...831..184B;
NGC 104-X9;6.017766666666666;-72.08280277777777;0.10127191120937731;2022MNRAS.513.3818T;305.8969995280819;-44.88755910932433;XT, BH?, RP, GC;0.019569444444444445;;RX J0021.8-7221;WD?;19.77199935913086;;;;;;;;;;;;;;;;;;0.035;0.441500345075826;4.45220877546704;10.084270205275581;0.5,10.0;;;;;0.12195121951219512;4530.0;4490.0;4610.0;;;;;0.04;;;;2017MNRAS.467.2199B;;2017ApJ...851L...4C;2001ApJ...559.1060A;;;;1996AJ....112.1487H;1996AJ....112.1487H;2016ApJ...831..184B;
NGC 104-W37;6.0208625;-72.08090833333333;1.018943069103975;2010ApJS..189...37E;305.8960703498449;-44.889574730883105;GC, QNS;0.1286;;Cl* NGC  104     HH    2101;;12.960000038146973;;;;;;;;;;;;;;;;;;0.035;;0.025679766577029556;;0.5,10.0;;;;;0.12195121951219512;4530.0;4490.0;4610.0;;1.4;;1.1999998092651367;0.04;;;75.0;2003A&A...404..301R;;;2003ApJ...596.1177E;;;;1996AJ....112.1487H;1996AJ....112.1487H;2016ApJ...831..184B;
NGC 104-W17;6.034604166666666;-72.07539722222222;1.0040915989391666;2010ApJS..189...37E;305.8913309807522;-44.895655874676116;QNS, GC;;;GEN# +2.01040017;;14.260000228881836;;;;;;;;;;;;;;;;;;0.041;;0.015;;0.5,10.0;;;;;0.14285714285714285;4530.0;4490.0;4610.0;;1.4;;0.9799995422363281;;;;;;;;;;;;2005ApJ...625..796H;2005ApJ...625..796H;2016ApJ...831..184B;2005ApJ...625..796H
IGR J00291+5934;7.2626752;59.5719451;1.0083342692976671;2010ApJS..189...37E;120.09637592826951;-3.1764925258973586;XP, XT, RP;0.1025;0.00167;V1037 Cas;;;;;;;;;;;;;;;;;;;;0.6207000055080513;0.038091063372937;244.443;6417.3320026994115;0.2,12.0;23.308999931812284;23.308999931812284;1.0;17.0,60.0;2.1627177892266594;3100.0;2600.0;3600.0;22.0;1.4;0.0995;;0.74;;1.0;81.0;2007A&A...469..807L;2007A&A...469..807L;;;;;;2020yCat.9058....0E;2020yCat.9058....0E;2018MNRAS.479.2481S;2005ApJ...622L..45G
3U 0042+32;11.2104943;33.0192232;1.0097484646526018;2010ApJS..189...37E;121.33806968678972;-29.832112270556372;XT;11.6;;N Per 1992;G?;19.299999237060547;;;;;;;;;;;;;;;;;;0.05638077484128377;;259.0;;3.0,10.0;;5.73;;20.0,60.0;0.19644869282677271;5000.0;2500.0;10000.0;;;;0.6000000238418579;0.20000000298023224;;2.0;6.0;1978MNRAS.183p..35W;;1978MNRAS.183P..29C;2007A&A...469..807L;;;;2016A&A...594A.116H;2016A&A...594A.116H;1978MNRAS.183P..29C;
4FGL J0407.7-5702;61.8821756445;-57.00701993499;0.0006554336045702876;2022yCat.1355....0G;267.77161757517166;-44.447235347124824;XP?;;;;;;;4682464743003293312;20.106796;0.009791;0.869602;;;;;;;;J040731.65-570025.1;18.016000747680664;0.0729999989271164;17.816999435424805;0.20200000703334808;0.0108;0.4389571232016513;0.496061;1.1300898738852811;0.5,10.0;;;;;0.037630662020905925;7000.0;6000.0;13000.0;;1.4;;;0.03;2.0;;;;;;;2022yCat.1355....0G;;2021ApJS..253....8M;2020ApJ...904...49M;2020ApJ...904...49M;2020ApJ...904...49M;
GRO J0422+32;65.42801144723;32.90748309894;0.010044470085076664;2022yCat.1355....0G;165.88065574453108;-11.912722988438729;XT, RP, BH, PSH;0.21216666666666664;;V518 Per;M1-M5;13.199999809265137;;172650748928103552;20.802708;0.042404;0.920349;;;;;;;;J042142.70+325426.9;16.634000778198242;0.041999999433755875;16.841999053955078;0.16599999368190765;0.2;0.0063893043392787;4800.0;751255.4959217799;0.2,10.0;;72000.00000000001;;40.0,150.0;0.6968641114982579;2490.0;2300.0;2650.0;55.6;2.7;0.46;0.30000001192092896;0.23000000417232513;;3.0;60.0;2007A&A...469..807L;;2007MNRAS.374..657R;2007A&A...469..807L;2022yCat.1355....0G;;2021ApJS..253....8M;1996ApJ...461..351C;1996ApJ...461..351C;2021MNRAS.502.5455A;2022MNRAS.516.2023C
